Annual Income,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Mean Home Ownership Income,Debt-to-income ratio,Is Loan Big,Is Payment High,Term Binary,Home Ownership digit,Years in current job_0,Years in current job_1 year,Years in current job_10+ years,Years in current job_2 years,Years in current job_3 years,Years in current job_4 years,Years in current job_5 years,Years in current job_6 years,Years in current job_7 years,Years in current job_8 years,Years in current job_9 years,Years in current job_1- year,Purpose_business loan,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_renewable energy,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Credit Default
3.890823360463373,-0.11095342154390785,1.603119362200301,0.3809617792335429,0.4151652814205254,-0.3409788778582933,-0.3370990397177327,0.002829760687826769,-0.05639208579990036,3.1779844629377156,0.4001734444132192,1.0303121864336977,-0.18889995906472826,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.6663924209707794,-0.11095342154390785,-0.6378469087937149,0.2815508074667503,-0.5440454183078924,-0.3409788778582933,-0.3370990397177327,0.2783716123257621,-0.3919778531598474,0.3947306636549269,-1.1110155268040471,-0.9578963258340452,-0.2660829916034334,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.5603435394958678,-0.11095342154390785,2.4180161880163067,1.2188542555536521,0.3753939262175002,-0.3409788778582933,-0.3370990397177327,2.5860426427917123,1.3924728641948263,2.1415907365756732,-0.0770441254448649,1.0303121864336977,0.38445971122279493,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.992718290528141,-0.11095342154390785,1.3993951557462996,0.42356648141931125,-0.5385968405237208,-0.3409788778582933,-0.3370990397177327,0.7487118612898407,-0.5692752143977531,3.591787297856541,-0.713334218588977,1.0303121864336977,0.9247409389937304,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.011854383229240643,-0.11095342154390785,1.1956709492922981,-0.41432599490079824,-0.2449772251425679,1.6647792271904904,-0.3370990397177327,-1.6103063579276466,1.1534262871245684,1.3451774992790166,0.28086905194869816,-1.3723551973695196,1.476048314270195,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.20734605675401982,-0.11095342154390785,-1.0452953217017178,-0.8687761515489933,-0.30009921416267543,-0.3409788778582933,-0.3370990397177327,-1.5732080140546612,-0.23847157411097955,-0.5030579793999587,0.28086905194869816,-0.9578963258340452,-0.5417366792416657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.36500465499627555,-0.11095342154390785,0.1770499170222909,-0.47113226448182266,0.07386245387430163,-0.3409788778582933,-0.3370990397177327,1.3634660786176171,0.6343861699200048,0.3115508435456109,-0.15658038708787891,1.0303121864336977,0.8475579064550254,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.4154653563683293,-0.11095342154390785,-0.4341227023397134,-1.1102027972683468,-0.45686817376114647,1.6647792271904904,2.545731972691612,1.8231517859157518,-0.47183937528184405,1.2607399197930478,-0.35542104119541396,1.0303121864336977,-0.08966463151496483,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.20734605675401982,-0.11095342154390785,-0.23039849588571198,0.3667602118382866,0.39503490721193923,-0.3409788778582933,-0.3370990397177327,2.7280176196897123,1.3053185982862403,1.2495877866533913,0.28086905194869816,1.0303121864336977,1.8288850344471328,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.42669714996063646,-0.11095342154390785,1.8068435686543023,-0.6131479384343835,0.2506312828242529,-0.3409788778582933,-0.3370990397177327,0.6044262608980219,0.14983714423070477,0.1313558501837963,0.002492136198149123,-0.9578963258340452,0.6931918413776154,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
